"coz","karena","",""
"cp","siapa","",""
"cpa","siapa","",""
"cpe","capek","",""
"cpet","cepat","",""
"cppa","siapa","",""
"cppe","capek","",""
"cimeng","ganja","",""
"cr","cara","",""
"cucok","cocok","",""
"cuek","tidak acuh","",""
"cuex","cuek","",""
"cuma","cuman","",""
"cuman","cuma","",""
"cepet","cepat","",""
"ceu","kakak perempuan","",""
"cew","cewek","",""
"cewe","cewek","",""
"cfd","car free day","",""
"chuyunk","sayang","",""
"cibuk","sibuk","",""
"cuex","cuek","",""
"cuma","cuma","",""
"cuman","cuma","",""
"cumi","cuma miscall","",""
"cungkring","kurus tinggi","",""
"cups","culun","",""
"cupu","culun","",""
"cr","cara","",""
"cucok","cocok","",""
"cuek","tidak acuh","",""
"dh","deh","",""
"diancurin","dihancurkan","",""
"diaughi","disuguhi","",""
"digosipin","digosipkan","",""
"dik","adik","",""
"dimaafin","dimaafkan","",""
"dimana2","dimana mana","",""
"dimintak","diminta","",""
"dimna","dimana","",""
"disni","disini","",""
"disono","di sana","",""
"diuber","dikejar","",""
"dket","dekat","",""
"dkit","sedikit","",""
"dkk","dan kawan kawan","",""
"dkt","dekat","",""
"dl","dulu","",""
"dll","dan lain lain","",""
"dlm","dalam","",""
"dlu","dulu","",""
"dmn","dimana","",""
"dn","dan","",""
"dngan","dengan","",""
"dngn","dengan","",""
"doang","saja","",""
"doank","doang","",""
"dodol","bodoh","",""
"doi","dia","",""
"doku","uang","",""
"don juan","playboy","",""
"dongs","dong","",""
"donlot","unduh","",""
"dek","adik","",""
"deket","dekat","",""
"demen","suka","",""
"dengam","dengan","",""
"dengerin","dengarkan","",""
"denhan","dengan","",""
"deyh","deh","",""
"dg","dengan","",""
"dgn","dengan","",""
"dsb","dan sebagainya","",""
"dsni","disini","",""
"dst","dan seterusnya","",""
"dstu","disitu","",""
"dtg","datang","",""
"du","di","",""
"dugem","dunia gemerlap","",""
"duh","aduh","",""
"duit","uang","",""
"duren","durian","",""
"dy","dia","",""
"earga","warga","",""
"ed","edisi","",""
"edan","gila","",""
"ee","tahi","",""
"eek","tahi","",""
"egp","emang gue pikirin","",""
"eike","aku","",""
"eke","aku","",""
"ekspektasi","ekspektasi","",""
"elo","kamu","",""
"elu","kamu","",""
"emang","memang","",""
"emangnya","menangnya","",""
"emg","memang","",""
"emte","makan teman","",""
"end","dan","",""
"endak","tidak","",""
"engga","tidak","",""
"enggak","tidak","",""
"enik","enak","",""
"dpt","dapat","",""
"dr","dari","",""
"drh","darah","",""
"dri","dari","",""
"drmana","darimana","",""
"drmn","darimana","",""
"drpd","daripada","",""
"drtd","dari tadi","",""
"dsarankan","disarankan","",""
"fifo","first in first out","",""
"finek","finansial ekonomi","",""
"folbek","follow back","",""
"foturistik","futuristik","",""
"fwd","diterukan","",""
"fyi","sebagai informasi","",""
"g","tidak","",""
"ga","tidak","",""
"gaada","tidak ada uang","",""
"gabisa","tidak bisa","",""
"gag","tidak","",""
"gahar","sangar","",""
"gaje","tidak jelas","",""
"gak","tidak","",""
"gak papa","tidak apa apa","",""
"gamau","tidak mau","",""
"gan","juragan","",""
"gapapa","tidak apa apa","",""
"gaptek","gagap teknologi","",""
"gatau","tidak tahu","",""
"gatek","gagap teknologi","",""
"gatot","gagal total","",""
"gawe","kerja","",""
"gax","tidak","",""
"gbs","tidak bisa","",""
"gda","tidak ada uang","",""
"gebetan","orang yang disuka","",""
"gede","besar","",""
"geer","gede rasa","",""
"geje","tidak jelas","",""
"gelo","gila","",""
"gepeng","gelandangan dan pengemis","",""
"entar","nanti","",""
"envy","iri","",""
"etc","et cetera","",""
"ex","mantan","",""
"ext","extension","",""
"fan","dan","",""
"fasilitas","fasilitas","",""
"fasum","fasilitas umum","",""
"fax","facsimile","",""
"fb","facebook","",""
"gitu","begitu","",""
"gl","tidak jelas","",""
"gk","tidak","",""
"gimana","bagaimana","",""
"gmn","bagaimana","",""
"gn","begini","",""
"gni","gedung nasional Indonesia","",""
"goblog","goblok","",""
"goblok","bodoh","",""
"gokil","gila","",""
"golput","golongan putih","",""
"gombal","suka merayu","",""
"gowes","mengayuh sepeda","",""
"gpl","tidak pakai lama","",""
"gpp","tidak apa apa","",""
"gr","gede rasa","",""
"gretong","gratis","",""
"gretonan","gratisan","",""
"grg","goreng","",""
"gt","begitu","",""
"gtau","tidak tahu","",""
"gteng","ganteng","",""
"gtw","tidak tahu","",""
"gua","saya","",""
"gue","saya","",""
"guede","besar","",""
"guoblok","goblok","",""
"guys","teman teman","",""
"gw","saya","",""
"ghiey","lagi","",""
"ghiy","lagi","",""
"gi","lagi","",""
"gile","gila","",""
"giman","gigi mancung","",""
"gimana","bagaimana","",""
"gini","begini","",""
"gino","gigi nongol","",""
"gitchu","gitu","",""
"githu","gitu","",""
"hansip","pertahanan sipil","",""
"harag","harap","",""
"hbis","habis","",""
"hehe","he","",""
"hehehe","tertawa","",""
"heheheh","tertawa","",""
"hellow","halo","",""
"helo","halo","",""
"helow","halo","",""
"hey","hai","",""
"hi","hai","",""
"hipangi","hilangin","",""
"hlm","halaman","",""
"hlng","hilang","",""
"hny","hanya","",""
"hoax","isu bohong","",""
"hoby","hobi","",""
"houm","rumah","",""
"hr","hari","",""
"hrg","harga","",""
"hrga","harga","",""
"hrs","harus","",""
"hrus","harus","",""
"htm","harga tiket masuk","",""
"hubad","angkatan darat","",""
"hubdar","perhubungan darat","",""
"hubla","perhubungan laut","",""
